Breach Submission Date,Country,Covered Entity Type,Individuals Affected,Breach Type,Breache location (Asset),Year
11/13/2020,US,Healthcare Provider,39207,Hacking/IT Incident,Network Server,2020
11/13/2020,US,Healthcare Provider,1866,Hacking/IT Incident,Email,2020
11/13/2020,US,Healthcare Provider,3667,Hacking/IT Incident,Network Server,2020
11/13/2020,US,Healthcare Provider,92795,Hacking/IT Incident,Email,2020
11/12/2020,US,Healthcare Provider,15680,Hacking/IT Incident,Other,2020
11/12/2020,US,Healthcare Provider,36474,Hacking/IT Incident,Network Server,2020
11/12/2020,US,Healthcare Provider,9930,Unauthorized Access/Disclosure,Email,2020
11/12/2020,US,Healthcare Provider,3500,Unauthorized Access/Disclosure,Electronic Medical Record,2020
11/11/2020,US,Health Plan,1587,Unauthorized Access/Disclosure,Paper/Films,2020
11/11/2020,US,Health Plan,8320,Unauthorized Access/Disclosure,Paper/Films,2020
11/11/2020,US,Health Plan,10021,Unauthorized Access/Disclosure,Paper/Films,2020
11/11/2020,US,Health Plan,8730,Unauthorized Access/Disclosure,Paper/Films,2020
11/09/2020,US,Healthcare Provider,7046,Hacking/IT Incident,Network Server,2020
11/06/2020,US,Healthcare Provider,58823,Hacking/IT Incident,Network Server,2020
11/06/2020,US,Health Plan,10205,Unauthorized Access/Disclosure,Paper/Films,2020
11/06/2020,US,Healthcare Provider,11258,Hacking/IT Incident,Network Server,2020
11/06/2020,US,Healthcare Provider,16196,Hacking/IT Incident,Network Server,2020
11/06/2020,US,Healthcare Provider,2945,Unauthorized Access/Disclosure,Email,2020
11/06/2020,US,Healthcare Provider,2000,Improper Disposal,Paper/Films,2020
11/06/2020,US,Healthcare Provider,27500,Hacking/IT Incident,Email,2020
11/05/2020,US,Healthcare Provider,176587,Hacking/IT Incident,Network Server,2020
11/05/2020,US,Healthcare Provider,3815,Unauthorized Access/Disclosure,Email,2020
11/05/2020,US,Healthcare Provider,1428,Hacking/IT Incident,Network Server,2020
11/04/2020,US,Healthcare Provider,39881,Hacking/IT Incident,Network Server,2020
11/04/2020,US,Healthcare Provider,4080,Hacking/IT Incident,Electronic Medical Record,2020
11/04/2020,US,Healthcare Provider,3991,Hacking/IT Incident,Network Server,2020
11/03/2020,US,Healthcare Provider,24000,Hacking/IT Incident,Network Server,2020
10/31/2020,US,Healthcare Provider,23846,Hacking/IT Incident,Network Server,2020
10/30/2020,US,Healthcare Provider,603,Hacking/IT Incident,Network Server,2020
10/30/2020,US,Healthcare Provider,1656,Hacking/IT Incident,Network Server,2020
10/30/2020,US,Healthcare Provider,1643,Hacking/IT Incident,Network Server,2020
10/30/2020,US,Healthcare Provider,15904,Hacking/IT Incident,Network Server,2020
10/30/2020,US,Healthcare Provider,647,Hacking/IT Incident,Network Server,2020
10/30/2020,US,Healthcare Provider,562,Hacking/IT Incident,Network Server,2020
10/30/2020,US,Healthcare Provider,1445,Hacking/IT Incident,Network Server,2020
10/30/2020,US,Health Plan,36915,Hacking/IT Incident,Email,2020
10/30/2020,US,Healthcare Provider,44009,Hacking/IT Incident,Network Server,2020
10/30/2020,US,Healthcare Provider,4704,Hacking/IT Incident,Network Server,2020
10/30/2020,US,Healthcare Provider,590,Hacking/IT Incident,Network Server,2020
10/30/2020,US,Healthcare Provider,905,Hacking/IT Incident,Network Server,2020
10/30/2020,US,Healthcare Provider,19837,Hacking/IT Incident,Network Server,2020
10/30/2020,US,Healthcare Provider,3370,Theft,Laptop,2020
10/30/2020,US,Business Associate,117088,Hacking/IT Incident,Network Server,2020
10/29/2020,US,Health Plan,80000,Hacking/IT Incident,Network Server,2020
10/29/2020,US,Healthcare Provider,2039,Hacking/IT Incident,Network Server,2020
10/29/2020,US,Healthcare Provider,771,Hacking/IT Incident,Network Server,2020
10/29/2020,US,Healthcare Provider,743,Hacking/IT Incident,Network Server,2020
10/29/2020,US,Healthcare Provider,580,Hacking/IT Incident,Network Server,2020
10/29/2020,US,Healthcare Provider,1884,Hacking/IT Incident,Network Server,2020
10/29/2020,US,Healthcare Provider,1141,Hacking/IT Incident,Network Server,2020
10/29/2020,US,Healthcare Provider,8000,Hacking/IT Incident,Network Server,2020
10/29/2020,US,Healthcare Provider,17050,Unauthorized Access/Disclosure,Email,2020
10/28/2020,US,Healthcare Provider,5000,Hacking/IT Incident,Network Server,2020
10/28/2020,US,Healthcare Provider,20727,Hacking/IT Incident,Network Server,2020
10/27/2020,US,Healthcare Provider,35416,Hacking/IT Incident,Email,2020
10/27/2020,US,Business Associate,829454,Hacking/IT Incident,Network Server,2020
10/26/2020,US,Healthcare Provider,20838,Hacking/IT Incident,Network Server,2020
10/26/2020,US,Healthcare Provider,4290,Improper Disposal,Laptop,2020
10/26/2020,US,Healthcare Provider,711,Unauthorized Access/Disclosure,Email,2020
10/26/2020,US,Healthcare Provider,28766,Hacking/IT Incident,Network Server,2020
10/23/2020,US,Healthcare Provider,11638,Hacking/IT Incident,Email,2020
10/23/2020,US,Healthcare Provider,50965,Hacking/IT Incident,Email,2020
10/23/2020,US,Healthcare Provider,16431,Hacking/IT Incident,Email,2020
10/23/2020,US,Business Associate,14500,Hacking/IT Incident,Email,2020
10/22/2020,US,Healthcare Provider,4538,Hacking/IT Incident,Email,2020
10/22/2020,US,Healthcare Provider,12217,Hacking/IT Incident,Email,2020
10/22/2020,US,Healthcare Provider,1784,Unauthorized Access/Disclosure,Paper/Films,2020
10/20/2020,US,Healthcare Provider,10261,Hacking/IT Incident,Electronic Medical Record,2020
10/20/2020,US,Healthcare Provider,1700,Hacking/IT Incident,Network Server,2020
10/20/2020,US,Healthcare Provider,315337,Hacking/IT Incident,Network Server,2020
10/20/2020,US,Healthcare Provider,95695,Hacking/IT Incident,Network Server,2020
10/19/2020,US,Healthcare Provider,77443,Hacking/IT Incident,Email,2020
10/19/2020,US,Healthcare Provider,94171,Hacking/IT Incident,Network Server,2020
10/19/2020,US,Healthcare Provider,4916,Hacking/IT Incident,Network Server,2020
10/19/2020,US,Healthcare Provider,86412,Hacking/IT Incident,Network Server,2020
10/17/2020,US,Healthcare Provider,8000,Hacking/IT Incident,Network Server,2020
10/16/2020,US,Healthcare Provider,3429,Hacking/IT Incident,Email,2020
10/16/2020,US,Healthcare Provider,1440,Hacking/IT Incident,Email,2020
10/16/2020,US,Healthcare Provider,1062,Unauthorized Access/Disclosure,Email,2020
10/15/2020,US,Healthcare Provider,591,Theft,Paper/Films,2020
10/15/2020,US,Healthcare Provider,1050,Hacking/IT Incident,Network Server,2020
10/15/2020,US,Healthcare Provider,1676,Unauthorized Access/Disclosure,Network Server,2020
10/14/2020,US,Healthcare Provider,884,Hacking/IT Incident,Network Server,2020
10/14/2020,US,Healthcare Provider,36000,Hacking/IT Incident,Network Server,2020
10/14/2020,US,Healthcare Provider,1837,Unauthorized Access/Disclosure,Electronic Medical Record,2020
10/13/2020,US,Healthcare Provider,21617,Hacking/IT Incident,Network Server,2020
10/13/2020,US,Business Associate,1678,Hacking/IT Incident,Email,2020
10/13/2020,US,Healthcare Provider,883,Theft,Paper/Films,2020
10/13/2020,US,Healthcare Provider,1700,Theft,Other,2020
10/11/2020,US,Healthcare Provider,5655,Hacking/IT Incident,Network Server,2020
10/09/2020,US,Healthcare Clearing House,45732,Hacking/IT Incident,Email,2020
10/09/2020,US,Healthcare Provider,95000,Hacking/IT Incident,Network Server,2020
10/09/2020,US,Healthcare Provider,3074,Hacking/IT Incident,Network Server,2020
10/09/2020,US,Healthcare Provider,353616,Hacking/IT Incident,Email,2020
10/08/2020,US,Healthcare Provider,1138,Hacking/IT Incident,Email,2020
10/08/2020,US,Health Plan,4973,Hacking/IT Incident,Email,2020
10/08/2020,US,Healthcare Provider,2219,Unauthorized Access/Disclosure,Network Server,2020
10/07/2020,US,Healthcare Provider,4500,Hacking/IT Incident,Network Server,2020
10/07/2020,US,Healthcare Provider,1360,Unauthorized Access/Disclosure,Email,2020
10/06/2020,US,Healthcare Provider,74877,Hacking/IT Incident,Email,2020
10/05/2020,US,Healthcare Provider,2618,Hacking/IT Incident,Network Server,2020
10/05/2020,US,Healthcare Provider,1614,Unauthorized Access/Disclosure,Electronic Medical Record,2020
10/02/2020,US,Healthcare Provider,603,Hacking/IT Incident,Network Server,2020
10/02/2020,US,Healthcare Provider,254786,Unauthorized Access/Disclosure,Email,2020
10/02/2020,US,Healthcare Provider,12636,Unauthorized Access/Disclosure,Paper/Films,2020
10/02/2020,US,Business Associate,1016,Hacking/IT Incident,Email,2020
10/02/2020,US,Healthcare Provider,6258,Hacking/IT Incident,Email,2020
10/02/2020,US,Healthcare Provider,193223,Hacking/IT Incident,Other,2020
10/01/2020,US,Healthcare Provider,118874,Hacking/IT Incident,Network Server,2020
09/30/2020,US,Healthcare Provider,2235,Hacking/IT Incident,Email,2020
09/30/2020,US,Healthcare Provider,13619,Hacking/IT Incident,Email,2020
09/30/2020,US,Healthcare Provider,21236,Hacking/IT Incident,Network Server,2020
09/30/2020,US,Healthcare Provider,7164,Hacking/IT Incident,Network Server,2020
09/30/2020,US,Healthcare Provider,2527,Hacking/IT Incident,Network Server,2020
09/29/2020,US,Healthcare Provider,563,Unauthorized Access/Disclosure,Email,2020
09/28/2020,US,Healthcare Provider,2851,Hacking/IT Incident,Network Server,2020
09/28/2020,US,Health Plan,6034,Hacking/IT Incident,Network Server,2020
09/28/2020,US,Business Associate,1474000,Unauthorized Access/Disclosure,Email,2020
09/28/2020,US,Healthcare Provider,2374,Hacking/IT Incident,Email,2020
09/28/2020,US,Healthcare Provider,17219,Hacking/IT Incident,Email,2020
09/25/2020,US,Healthcare Provider,26861,Hacking/IT Incident,Email,2020
09/25/2020,US,Healthcare Provider,228009,Hacking/IT Incident,Email,2020
09/25/2020,US,Healthcare Provider,3414,Hacking/IT Incident,Network Server,2020
09/25/2020,US,Healthcare Provider,64840,Hacking/IT Incident,Network Server,2020
09/25/2020,US,Healthcare Provider,3700,Hacking/IT Incident,Email,2020
09/25/2020,US,Healthcare Provider,2850,Hacking/IT Incident,Electronic Medical Record,2020
09/25/2020,US,Healthcare Provider,13375,Hacking/IT Incident,Email,2020
09/25/2020,US,Healthcare Provider,668,Hacking/IT Incident,Network Server,2020
09/23/2020,US,Healthcare Provider,717,Unauthorized Access/Disclosure,Electronic Medical Record,2020
09/23/2020,US,Healthcare Provider,12861,Hacking/IT Incident,Network Server,2020
09/23/2020,US,Healthcare Provider,1900,Theft,Electronic Medical Record,2020
09/23/2020,US,Healthcare Provider,74328,Hacking/IT Incident,Network Server,2020
09/22/2020,US,Healthcare Provider,1514,Unauthorized Access/Disclosure,Paper/Films,2020
09/18/2020,US,Healthcare Provider,4004,Unauthorized Access/Disclosure,Electronic Medical Record,2020
09/18/2020,US,Healthcare Provider,1135,Theft,Paper/Films,2020
09/18/2020,US,Health Plan,4806,Hacking/IT Incident,Email,2020
09/17/2020,US,Healthcare Provider,189736,Hacking/IT Incident,Email,2020
09/17/2020,US,Healthcare Provider,5600,Hacking/IT Incident,Network Server,2020
09/17/2020,US,Business Associate,1798,Unauthorized Access/Disclosure,Paper/Films,2020
09/16/2020,US,Healthcare Provider,683,Hacking/IT Incident,Network Server,2020
09/16/2020,US,Healthcare Provider,2000,Hacking/IT Incident,Network Server,2020
09/15/2020,US,Healthcare Provider,2691,Hacking/IT Incident,Email,2020
09/15/2020,US,Healthcare Provider,31550,Hacking/IT Incident,Email,2020
09/15/2020,US,Healthcare Provider,5226,Hacking/IT Incident,Email,2020
09/15/2020,US,Business Associate,61267,Hacking/IT Incident,Network Server,2020
09/15/2020,US,Healthcare Provider,314829,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,1766,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,2343,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,76068,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,1758,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,71160,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,5242,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,2345,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Business Associate,3320726,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,234954,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,73536,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,27410,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,47272,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,5890,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,500,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,699,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,31166,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,1229,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,2633,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,183265,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,1987,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,149126,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,87404,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,3657,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,52344,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,77942,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,81487,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,44308,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,175191,Hacking/IT Incident,Network Server,2020
09/14/2020,US,Healthcare Provider,18623,Hacking/IT Incident,Network Server,2020
09/13/2020,US,Healthcare Provider,87535,Hacking/IT Incident,Network Server,2020
09/13/2020,US,Healthcare Provider,4271,Hacking/IT Incident,Email,2020
09/12/2020,US,Healthcare Provider,2724,Hacking/IT Incident,Network Server,2020
09/11/2020,US,Healthcare Provider,3061,Hacking/IT Incident,Network Server,2020
09/11/2020,US,Healthcare Provider,199389,Hacking/IT Incident,Network Server,2020
09/11/2020,US,Healthcare Provider,43667,Hacking/IT Incident,Network Server,2020
09/11/2020,US,Healthcare Provider,27244,Hacking/IT Incident,Network Server,2020
09/11/2020,US,Healthcare Provider,54151,Hacking/IT Incident,Network Server,2020
09/11/2020,US,Healthcare Provider,111588,Hacking/IT Incident,Network Server,2020
09/11/2020,US,Healthcare Provider,13041,Hacking/IT Incident,Network Server,2020
09/11/2020,US,Healthcare Provider,727,Hacking/IT Incident,Email,2020
09/11/2020,US,Healthcare Provider,54869,Hacking/IT Incident,Network Server,2020
09/11/2020,US,Business Associate,58123,Hacking/IT Incident,Email,2020
09/11/2020,US,Healthcare Provider,81118,Hacking/IT Incident,Network Server,2020
09/11/2020,US,Healthcare Provider,160268,Hacking/IT Incident,Network Server,2020
09/10/2020,US,Healthcare Provider,23000,Unauthorized Access/Disclosure,Electronic Medical Record,2020
09/10/2020,US,Healthcare Provider,33575,Hacking/IT Incident,Network Server,2020
09/10/2020,US,Healthcare Provider,343493,Hacking/IT Incident,Network Server,2020
09/10/2020,US,Healthcare Provider,93642,Hacking/IT Incident,Network Server,2020
09/10/2020,US,Healthcare Provider,3845,Hacking/IT Incident,Network Server,2020
09/09/2020,US,Healthcare Provider,2650,Hacking/IT Incident,Email,2020
09/09/2020,US,Health Plan,1620,Hacking/IT Incident,Network Server,2020
09/09/2020,US,Healthcare Provider,1045270,Hacking/IT Incident,Network Server,2020
09/09/2020,US,Healthcare Provider,4586,Hacking/IT Incident,Network Server,2020
09/08/2020,US,Healthcare Provider,163774,Hacking/IT Incident,Network Server,2020
09/08/2020,US,Healthcare Provider,244761,Hacking/IT Incident,Network Server,2020
09/08/2020,US,Healthcare Provider,92064,Hacking/IT Incident,Network Server,2020
09/08/2020,US,Business Associate,3905,Hacking/IT Incident,Email,2020
09/08/2020,US,Healthcare Provider,92963,Hacking/IT Incident,Network Server,2020
09/04/2020,US,Healthcare Provider,7777,Hacking/IT Incident,Email,2020
09/04/2020,US,Healthcare Provider,1076,Improper Disposal,Paper/Films,2020
09/04/2020,US,Healthcare Provider,60200,Hacking/IT Incident,Network Server,2020
09/04/2020,US,Healthcare Provider,52795,Hacking/IT Incident,Network Server,2020
09/04/2020,US,Healthcare Provider,2979,Unauthorized Access/Disclosure,Paper/Films,2020
09/04/2020,US,Healthcare Provider,4938,Loss,Other Portable Electronic Device,2020
09/04/2020,US,Healthcare Provider,348746,Hacking/IT Incident,Network Server,2020
09/03/2020,US,Healthcare Provider,6000,Hacking/IT Incident,Email,2020
09/02/2020,US,Healthcare Provider,4056,Theft,Other Portable Electronic Device,2020
09/02/2020,US,Healthcare Provider,308169,Hacking/IT Incident,Network Server,2020
09/01/2020,US,Healthcare Provider,165000,Hacking/IT Incident,Network Server,2020
09/01/2020,US,Healthcare Provider,52711,Hacking/IT Incident,Network Server,2020
08/31/2020,US,Healthcare Provider,6000,Hacking/IT Incident,Network Server,2020
08/28/2020,US,Healthcare Provider,2869,Theft,Other Portable Electronic Device,2020
08/28/2020,US,Healthcare Provider,55983,Hacking/IT Incident,Network Server,2020
08/28/2020,US,Healthcare Provider,148594,Hacking/IT Incident,Email,2020
08/27/2020,US,Healthcare Provider,244813,Hacking/IT Incident,Network Server,2020
08/26/2020,US,Healthcare Provider,60595,Hacking/IT Incident,Network Server,2020
08/25/2020,US,Healthcare Provider,1538,Hacking/IT Incident,Network Server,2020
08/25/2020,US,Healthcare Provider,3027,Hacking/IT Incident,Email,2020
08/25/2020,US,Business Associate,1021,Hacking/IT Incident,Network Server,2020
08/25/2020,US,Healthcare Provider,15000,Hacking/IT Incident,Network Server,2020
08/25/2020,US,Healthcare Provider,740,Theft,Paper/Films,2020
08/22/2020,US,Healthcare Provider,179189,Hacking/IT Incident,Network Server,2020
08/21/2020,US,Healthcare Provider,16579,Hacking/IT Incident,Email,2020
08/21/2020,US,Healthcare Provider,971,Hacking/IT Incident,Email,2020
08/20/2020,US,Health Plan,648,Unauthorized Access/Disclosure,Email,2020
08/20/2020,US,Healthcare Provider,360212,Hacking/IT Incident,Network Server,2020
08/19/2020,US,Health Plan,564,Hacking/IT Incident,Other,2020
08/18/2020,US,Healthcare Provider,10393,Hacking/IT Incident,Email,2020
08/18/2020,US,Healthcare Provider,1164,Hacking/IT Incident,Network Server,2020
08/17/2020,US,Business Associate,139114,Hacking/IT Incident,Email,2020
08/17/2020,US,Healthcare Provider,22718,Hacking/IT Incident,Network Server,2020
08/17/2020,US,Healthcare Provider,2827,Loss,Other Portable Electronic Device,2020
08/14/2020,US,Healthcare Provider,177023,Hacking/IT Incident,Network Server,2020
08/14/2020,US,Business Associate,8100,Hacking/IT Incident,Email,2020
08/14/2020,US,Healthcare Provider,2102,Hacking/IT Incident,Email,2020
08/14/2020,US,Healthcare Provider,1907,Unauthorized Access/Disclosure,Paper/Films,2020
08/14/2020,US,Healthcare Provider,135959,Hacking/IT Incident,Network Server,2020
08/13/2020,US,Healthcare Provider,15535,Unauthorized Access/Disclosure,Other,2020
08/13/2020,US,Healthcare Provider,543,Unauthorized Access/Disclosure,Email,2020
08/11/2020,US,Healthcare Provider,914,Unauthorized Access/Disclosure,Paper/Films,2020
08/10/2020,US,Business Associate,1070,Unauthorized Access/Disclosure,Email,2020
08/07/2020,US,Healthcare Provider,772,Unauthorized Access/Disclosure,Electronic Medical Record,2020
08/07/2020,US,Healthcare Provider,3736,Hacking/IT Incident,Email,2020
08/06/2020,US,Healthcare Provider,102800,Hacking/IT Incident,Network Server,2020
08/04/2020,US,Healthcare Provider,7264,Hacking/IT Incident,Network Server,2020
08/03/2020,US,Business Associate,304399,Hacking/IT Incident,Network Server,2020
08/03/2020,US,Healthcare Provider,738,Theft,Laptop,2020
08/03/2020,US,Health Plan,1112,Hacking/IT Incident,Email,2020
08/03/2020,US,Healthcare Provider,2333,Loss,Other,2020
07/31/2020,US,Healthcare Provider,4120,Hacking/IT Incident,Email,2020
07/31/2020,US,Healthcare Provider,7557,Unauthorized Access/Disclosure,Email,2020
07/31/2020,US,Healthcare Provider,7447,Hacking/IT Incident,Electronic Medical Record,2020
07/30/2020,US,Healthcare Provider,3127,Hacking/IT Incident,Email,2020
07/30/2020,US,Healthcare Provider,4950,Hacking/IT Incident,Network Server,2020
07/29/2020,US,Healthcare Provider,13600,Theft,Paper/Films,2020
07/29/2020,US,Health Plan,1084,Hacking/IT Incident,Email,2020
07/28/2020,US,Healthcare Provider,6073,Hacking/IT Incident,Network Server,2020
07/27/2020,US,Healthcare Provider,2553,Hacking/IT Incident,Email,2020
07/27/2020,US,Healthcare Provider,19908,Hacking/IT Incident,Network Server,2020
07/27/2020,US,Healthcare Provider,129571,Hacking/IT Incident,Network Server,2020
07/24/2020,US,Healthcare Provider,33896,Hacking/IT Incident,Email,2020
07/24/2020,US,Healthcare Provider,72143,Theft,Other Portable Electronic Device,2020
07/24/2020,US,Healthcare Provider,1974,Hacking/IT Incident,Email,2020
07/24/2020,US,Healthcare Provider,1237,Unauthorized Access/Disclosure,Other,2020
07/24/2020,US,Healthcare Provider,1500,Theft,Paper/Films,2020
07/24/2020,US,Healthcare Provider,26234,Loss,Paper/Films,2020
07/20/2020,US,Healthcare Provider,25554,Hacking/IT Incident,Network Server,2020
07/20/2020,US,Healthcare Provider,10000,Hacking/IT Incident,Email,2020
07/20/2020,US,Healthcare Provider,1505,Unauthorized Access/Disclosure,Paper/Films,2020
07/17/2020,US,Business Associate,78070,Hacking/IT Incident,Email,2020
07/17/2020,US,Healthcare Provider,4139,Unauthorized Access/Disclosure,Paper/Films,2020
07/17/2020,US,Healthcare Provider,537,Hacking/IT Incident,Network Server,2020
07/16/2020,US,Healthcare Provider,69777,Hacking/IT Incident,Network Server,2020
07/16/2020,US,Business Associate,1441,Hacking/IT Incident,Email,2020
07/16/2020,US,Health Plan,50440,Unauthorized Access/Disclosure,Paper/Films,2020
07/16/2020,US,Healthcare Provider,723,Unauthorized Access/Disclosure,Email,2020
07/16/2020,US,Healthcare Provider,3129,Hacking/IT Incident,Email,2020
07/15/2020,US,Health Plan,1708,Hacking/IT Incident,Network Server,2020
07/15/2020,US,Healthcare Provider,1853,Unauthorized Access/Disclosure,Other,2020
07/14/2020,US,Healthcare Provider,1463,Theft,Paper/Films,2020
07/14/2020,US,Healthcare Provider,900,Hacking/IT Incident,Network Server,2020
07/10/2020,US,Business Associate,2490,Hacking/IT Incident,Network Server,2020
07/10/2020,US,Business Associate,500,Theft,Other Portable Electronic Device,2020
07/09/2020,US,Healthcare Provider,1158,Hacking/IT Incident,Electronic Medical Record,2020
07/08/2020,US,Healthcare Provider,8394,Hacking/IT Incident,Network Server,2020
07/06/2020,US,Business Associate,21800,Hacking/IT Incident,Network Server,2020
07/06/2020,US,Healthcare Provider,500,Hacking/IT Incident,Email,2020
07/02/2020,US,Health Plan,35940,Hacking/IT Incident,Email,2020
07/02/2020,US,Business Associate,2393,Unauthorized Access/Disclosure,Network Server,2020
07/01/2020,US,Healthcare Provider,640000,Hacking/IT Incident,Network Server,2020
07/01/2020,US,Healthcare Provider,7000,Hacking/IT Incident,Network Server,2020
06/30/2020,US,Health Plan,2794,Unauthorized Access/Disclosure,Other,2020
06/30/2020,US,Healthcare Provider,656,Hacking/IT Incident,Desktop Computer,2020
06/29/2020,US,Healthcare Provider,2384,Hacking/IT Incident,Email,2020
06/29/2020,US,Healthcare Provider,6265,Hacking/IT Incident,Network Server,2020
06/29/2020,US,Business Associate,5878,Unauthorized Access/Disclosure,Email,2020
06/26/2020,US,Business Associate,447354,Hacking/IT Incident,Network Server,2020
06/26/2020,US,Healthcare Provider,6169,Hacking/IT Incident,Email,2020
06/26/2020,US,Healthcare Provider,2835,Hacking/IT Incident,Email,2020
06/26/2020,US,Business Associate,971,Hacking/IT Incident,Network Server,2020
06/25/2020,US,Healthcare Provider,763,Hacking/IT Incident,Network Server,2020
06/25/2020,US,Healthcare Provider,1162,Hacking/IT Incident,Email,2020
06/24/2020,US,Healthcare Provider,1650,Unauthorized Access/Disclosure,Email,2020
06/23/2020,US,Health Plan,572,Hacking/IT Incident,Email,2020
06/23/2020,US,Health Plan,11581,Unauthorized Access/Disclosure,Email,2020
06/22/2020,US,Healthcare Provider,10845,Unauthorized Access/Disclosure,Email,2020
06/19/2020,US,Healthcare Provider,1045,Hacking/IT Incident,Email,2020
06/19/2020,US,Healthcare Provider,538,Unauthorized Access/Disclosure,Email,2020
06/19/2020,US,Business Associate,15843,Hacking/IT Incident,Network Server,2020
06/19/2020,US,Business Associate,62807,Hacking/IT Incident,Network Server,2020
06/18/2020,US,Healthcare Provider,47767,Hacking/IT Incident,Electronic Medical Record,2020
06/18/2020,US,Healthcare Provider,12472,Hacking/IT Incident,Network Server,2020
06/18/2020,US,Healthcare Provider,775,Hacking/IT Incident,Network Server,2020
06/18/2020,US,Healthcare Provider,10974,Hacking/IT Incident,Network Server,2020
06/17/2020,US,Healthcare Provider,35498,Hacking/IT Incident,Network Server,2020
06/16/2020,US,Healthcare Provider,3489,Hacking/IT Incident,Network Server,2020
06/16/2020,US,Health Plan,49511,Unauthorized Access/Disclosure,Network Server,2020
06/16/2020,US,Health Plan,3853,Hacking/IT Incident,Network Server,2020
06/15/2020,US,Business Associate,8692,Hacking/IT Incident,Email,2020
06/15/2020,US,Healthcare Provider,608,Hacking/IT Incident,Email,2020
06/15/2020,US,Healthcare Provider,19000,Hacking/IT Incident,Email,2020
06/15/2020,US,Health Plan,3568,Hacking/IT Incident,Network Server,2020
06/12/2020,US,Healthcare Provider,28268,Hacking/IT Incident,Email,2020
06/12/2020,US,Healthcare Provider,54002,Hacking/IT Incident,Email,2020
06/12/2020,US,Healthcare Provider,13146,Hacking/IT Incident,Email,2020
06/12/2020,US,Healthcare Provider,9182,Hacking/IT Incident,Email,2020
06/12/2020,US,Healthcare Provider,846,Theft,Paper/Films,2020
06/12/2020,US,Business Associate,58000,Hacking/IT Incident,Network Server,2020
06/12/2020,US,Health Plan,644,Unauthorized Access/Disclosure,Paper/Films,2020
06/12/2020,US,Healthcare Provider,3660,Hacking/IT Incident,Email,2020
06/12/2020,US,Healthcare Provider,33040,Hacking/IT Incident,Network Server,2020
06/12/2020,US,Business Associate,50410,Hacking/IT Incident,Network Server,2020
06/12/2020,US,Health Plan,76236,Hacking/IT Incident,Network Server,2020
06/12/2020,US,Health Plan,102748,Hacking/IT Incident,Network Server,2020
06/12/2020,US,Business Associate,22560,Hacking/IT Incident,Network Server,2020
06/12/2020,US,Business Associate,314704,Hacking/IT Incident,Network Server,2020
06/12/2020,US,Health Plan,1013956,Hacking/IT Incident,Email,2020
06/11/2020,US,Business Associate,1876,Hacking/IT Incident,Email,2020
06/11/2020,US,Healthcare Provider,5074,Hacking/IT Incident,Email,2020
06/08/2020,US,Healthcare Provider,6339,Hacking/IT Incident,Electronic Medical Record,2020
06/08/2020,US,Healthcare Provider,1909,Hacking/IT Incident,Email,2020
06/07/2020,US,Healthcare Provider,633,Loss,Other Portable Electronic Device,2020
06/05/2020,US,Healthcare Provider,506,Unauthorized Access/Disclosure,Electronic Medical Record,2020
06/05/2020,US,Healthcare Provider,3663,Hacking/IT Incident,Email,2020
06/04/2020,US,Healthcare Provider,974,Theft,Desktop Computer,2020
06/02/2020,US,Business Associate,917,Unauthorized Access/Disclosure,Paper/Films,2020
06/02/2020,US,Healthcare Provider,1894,Theft,Laptop,2020
06/01/2020,US,Health Plan,233543,Hacking/IT Incident,Email,2020
